id,crime_type,date,time,location,incident_description,vehicle_description,age,eye_color,hair_color,height,race,sex,weight,additional_description,weapon,email_from,email_subject,message_id
1,Aggravated Assault,2025-03-02,11:05 a.m.,Northeast corner of Jefferson Boulevard & McClintock Avenue,The suspect brandished a knife at the victim. The suspect left going westbound on Jefferson Boulevard riding a bicycle and carrying a walking cane.,Teal bicycle,39,N/A,Gray,5 feet 6 inches,N/A,Male,Slim build,"Wearing a plaid shirt, black pants, black shoes, sunglasses, and a black hat.",Knife,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Aggravated Assault,19558e0be8cd7c02
2,N/A,2025-02-27,4:56 p.m.,At the intersection of 28th Street & Hoover Street,The suspect ran up behind the victim and groped their buttocks. The suspect was last seen on foot going northbound on Magnolia Avenue & Adams Boulevard.,N/A,39,Brown,Short brown hair,5 feet 5 inches,Hispanic,Male,Medium build,Wearing black t-shirt and dark sweatpants or jeans.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Sexual Battery/Fondling,1954a92157ad3085
3,Robbery,2025-02-25,8:49 a.m.,At the intersection of 30th Street & Hoover Street,The suspect snatched the victim's phone from their hand. The suspect was last seen on foot going southbound on Hoover Street past 28th Street.,N/A,25,N/A,Dark short hair,5 feet 7 inches,Hispanic,Male,Slim build,Wearing a blue shirt and blue jeans.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,1953e62c1b20aab1
4,Burglary,2025-02-20,3:55 a.m.,UPC Troy Hall at 3025 Royal Street,The Department of Public Safety received a delayed report of a suspect who followed behind a USC community member into Troy Hall and proceeded to steal residents' packages from the building's mailroom.,N/A,25,Brown,Dark brown,N/A,Hispanic,Male,Slim build,"Wearing beige cargo pants, white shoes, and a black short sleeve t-shirt with decals.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Burglary,19524e109810f11f
5,N/A,2025-02-19,5:30 a.m.,Off UPC campus in the 1200 block of 30th Street,"While the victim was asleep, the suspect entered their apartment through an unlocked front door. While inside, the suspect removed the victim's property and fled.",N/A,N/A,N/A,N/A,N/A,Hispanic,Male,Medium build,"Wearing a black beanie, black sweatshirt, gray pants, white N-95 mask, and carrying a black duffle bag.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert -  Burglary & Motor Vehicle Theft,1951fc48caee7216
6,Attempt Robbery,2025-02-17,3:38 p.m.,On the northeast corner of Adams Boulevard & Magnolia Avenue,The suspect approached the victim on the sidewalk and told the victim he was going to rob them. The victim ran from the suspect before he could take any of their property. The victim was not injured.,N/A,30,Brown,Black,5 feet 6 inches,Black,Male,150 pounds,Wearing all black clothes and carrying a nitrous oxide tank.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Attempt Robbery,19516b5897bbe616
7,Robbery,2025-02-14,N/A,300 West Huntington Dr. Arcadia CA,USC DPS received a delayed report of a robbery that occurred at Arcadia USC Hospital.,N/A,N/A,N/A,N/A,N/A,N/A,Male,N/A,N/A,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,195102697ccc79af
8,Robbery,2025-02-09,7:43 p.m.,At the corner of 31st Street and Figueroa Street,A group of 10 juveniles on bicycles surrounded the victim. They demanded the victim's property and took the wallet from their pocket. The group of juveniles then left the area going eastbound on 30th Street passed the 110 freeway.,Bicycles,13,N/A,N/A,N/A,Black,Male,Medium build,All dark clothing,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,194ee60eb37207b1
9,Robbery,2025-02-07,7:14 p.m.,The University Village,A group of juveniles rode up to the the victim on their bicycles and one of the juveniles stole the victim's property off their person. The juveniles then rode away out of the area and were last seen on Figueroa Street and Adams Boulevard.,Bicycle,13,Brown,Brown,N/A,Hispanic,Male,Medium build,"Suspect who took the victim's property. Wearing a black long-sleeve shirt with blue logo, and black jogging pants. Has a medium complexion.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,194e41594e89dd03
10,Motor Vehicle Theft,2025-02-05,5:55 p.m.,650 Childs Way Los Angeles CA,"On February 5, 2025, there were four e-scooter thefts that occurred at four separate locations on the USC campus between the hours of 5:00 p.m. and 9:00 p.m. In all four cases, the e-scooters were parked in bike racks. In three cases, cable locks that had been cut were left at the scene. In the fourth case, a U-lock was used to secure the e-scooter. The e scooter and the U-lock were damaged but left at the scene (attempted theft only).",N/A,N/A,N/A,N/A,N/A,White,Male,N/A,"Described as having a slim build, wearing a black short sleeve t-shirt, gray pants and a black and red baseball cap. Later seen with white bike helmet.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Motor Vehicle Theft,194dd71c7e79184c
11,Attempt Burglary,2025-01-29,5:43 a.m.,3500 block of Budlong Avenue,"A suspect attempted to gain entry into the victim's residence through their window using a pry tool. After his unsuccessful attempts, the suspect left on his skateboard in an unknown direction.",Skateboard,30,N/A,N/A,5 feet 9 inches,Black,Male,195 pounds,"Wearing a dark hooded sweatshirt, light colored jeans, and likely carrying or riding a skateboard",Pry tool,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Attempt Burglary,194b2fcd2cdb5a0e
12,Burglary,2025-01-28,4:12 a.m.,"1300 block, W. 35th Place",One suspect entered the victim's residence by cutting a window screen and climbing through the window. He then opened a door and allowed the two other suspects to enter the residence. They took three electric scooters and other property.,N/A,30,N/A,N/A,N/A,N/A,Male,135,"Blue jumpsuit, white hoody, face mask, multi-colored scarf, white gloves.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Burglary,194ae5eb9f241873
13,N/A,2025-01-25,8:57 a.m.,Corner of Exposition Boulevard & Figueroa Street,The suspect approached the victim on the southeast corner of Exposition Boulevard and Figueroa Street and slapped the victim on their buttocks.,N/A,N/A,N/A,Dark,N/A,Black,Male,Medium build,"Wearing a dark colored jacket, white shirt, tan pants, and blue and white shoes.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Sexual Battery/Fondling,1949ef2a8c8fc615
14,Attempt Robbery,2025-01-24,11:59 p.m.,At the corner of 35th Street & Hope Street,"The suspect grabbed the victim's property off the ground. The victim then grabbed his property back from the suspect. While struggling over the property, the suspect pulled out a handgun and pointed it at the victim. The suspect then put the firearm away and rode his bike northbound on Hope Street toward Jefferson Boulevard, out of sight. The victim sustained no injuries and no property was taken.",Red mountain bicycle,N/A,N/A,N/A,5 feet 8 inches,Black,Male,N/A,"Wearing a blue puffer jacket and blue jeans, has no facial hair and a dark complexion.",Handgun,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Attempt Robbery,1949db8e7824ef09
15,Attempt Robbery,2025-01-24,1:01 p.m.,On the Metro platform at the 2400 block of Flower Street,"The suspect approached the victim on the Metro platform, threatened them with a knife, and demanded their property. The victim did not hand over any property to the suspect and quickly boarded the train to get away from the suspect. The suspect then left the area on foot in an unknown direction.",N/A,N/A,N/A,N/A,5 feet 11 inches,Black,Male,180 pounds,Wearing a blue hooded sweatshirt and black pants.,Knife,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Attempt Robbery,1949a724c25f5623
16,N/A,2025-01-17,7:40 a.m.,At the corner of 24th Street & Ellendale Place; 29th Street & Orchard Avenue; and 30th Street & Orchard Avenue,A suspect riding a bicycle approached three different victims at separate times over the course of about 20 minutes and slapped them on their buttocks. The suspect was last seen riding his bicycle towards the 3100 block of McClintock Avenue.,Black bicycle with silver handlebars,16,N/A,N/A,N/A,Hispanic,Male,N/A,"Wearing a black hooded sweatshirt, gray pants, white gloves, and black shoes.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Sexual Battery/Fondling,19475774d15c8d53
17,Robbery,2025-01-13,8:24 p.m.,On the sidewalk of the 3700 block of Figueroa Street,Four juvenile suspects on bicycles threatened and demanded the victim's headphones. A juvenile suspect behind the victim took their headphones. The suspects were last seen riding their bicycles north on Figueroa Street.,Bicycles,13,N/A,Black curly hair,5 feet 4 inches,Hispanic or Black,Male,130-140 pounds,Wearing a dark gray hoodie and dark gray pants,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,1946372fdf9abb18
